14 0.846 0.846 0.846 1
14 0.346 0.654 0.154 1
14 0.154 0.346 0.654 1
14 0.654 0.154 0.346 1
25 0.135 0.135 0.135 1
25 -0.365 1.365 0.865 1
25 0.865 -0.365 1.365 1
25 1.365 0.865 -0.365 1

